symbol,name,sector,exchange
ALOKINDS,Alok Industries Limited,NSE Equity,NS
ALPA,Alpa Laboratories Limited,NSE Equity,NS
ALPHAGEO,Alphageo (India) Limited,NSE Equity,NS
ALPSINDUS,Alps Industries Limited,NSE Equity,NS
AMANTA,Amanta Healthcare Limited,NSE Equity,NS
AMBER,Amber Enterprises India Limited,NSE Equity,NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE Equity,NS
AMBIKCO,Ambika Cotton Mills Limited,NSE Equity,NS
AMBUJACEM,Ambuja Cements Limited,NSE Equity,NS
AMDIND,AMD Industries Limited,NSE Equity,NS
AMJLAND,Amj Land Holdings Limited,NSE Equity,NS
AMNPLST,Amines & Plasticizers Limited,NSE Equity,NS
AMRUTANJAN,Amrutanjan Health Care Limited,NSE Equity,NS
ANANDRATHI,Anand Rathi Wealth Limited,NSE Equity,NS
ANANTRAJ,Anant Raj Limited,NSE Equity,NS
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE Equity,NS
ANDHRSUGAR,The Andhra Sugars Limited,NSE Equity,NS
ANGELONE,Angel One Limited,NSE Equity,NS
ANIKINDS,Anik Industries Limited,NSE Equity,NS
ANKITMETAL,Ankit Metal & Power Limited,NSE Equity,NS
ANMOL,Anmol India Limited,NSE Equity,NS
ANSALAPI,Ansal Properties & Infrastructure Limited,NSE Equity,NS
ANTELOPUS,Antelopus Selan Energy Limited,NSE Equity,NS
ANTGRAPHIC,Antarctica Limited,NSE Equity,NS
ANTHEM,Anthem Biosciences Limited,NSE Equity,NS
ANUHPHR,Anuh Pharma Limited,NSE Equity,NS
ANUP,The Anup Engineering Limited,NSE Equity,NS
ANURAS,Anupam Rasayan India Limited,NSE Equity,NS
APARINDS,Apar Industries Limited,NSE Equity,NS
APCL,Anjani Portland Cement Limited,NSE Equity,NS
APCOTEXIND,Apcotex Industries Limited,NSE Equity,NS
APEX,Apex Frozen Foods Limited,NSE Equity,NS
APLAPOLLO,APL Apollo Tubes Limited,NSE Equity,NS
APLLTD,Alembic Pharmaceuticals Limited,NSE Equity,NS
APOLLO,Apollo Micro Systems Limited,NSE Equity,NS
APOLLOHOSP,Apollo Hospitals Enterprise Limited,NSE Equity,NS
APOLLOPIPE,Apollo Pipes Limited,NSE Equity,NS
APOLLOTYRE,Apollo Tyres Limited,NSE Equity,NS
APOLSINHOT,Apollo Sindoori Hotels Limited,NSE Equity,NS
APTECHT,Aptech Limited,NSE Equity,NS
APTUS,Aptus Value Housing Finance India Limited,NSE Equity,NS
ARCHIDPLY,Archidply Industries Limited,NSE Equity,NS
ARCHIES,Archies Limited,NSE Equity,NS
ARE&M,Amara Raja Energy & Mobility Limited,NSE Equity,NS
ARENTERP,Rajdarshan Industries Limited,NSE Equity,NS
ARFIN,Arfin India Limited,NSE Equity,NS
ARIES,Aries Agro Limited,NSE Equity,NS
ARIHANTCAP,Arihant Capital Markets Limited,NSE Equity,NS
ARIHANTSUP,Arihant Superstructures Limited,NSE Equity,NS
ARISINFRA,Arisinfra Solutions Limited,NSE Equity,NS
ARKADE,Arkade Developers Limited,NSE Equity,NS
ARMANFIN,Arman Financial Services Limited,NSE Equity,NS
AROGRANITE,Aro Granite Industries Limited,NSE Equity,NS
ARROWGREEN,Arrow Greentech Limited,NSE Equity,NS
ARSHIYA,Arshiya Limited,NSE Equity,NS
ARSSBL,Anand Rathi Share and Stock Brokers Limited,NSE Equity,NS
ARTEMISMED,Artemis Medicare Services Limited,NSE Equity,NS
ARTNIRMAN,Art Nirman Limited,NSE Equity,NS
ARVEE,Arvee Laboratories (India) Limited,NSE Equity,NS
ARVIND,Arvind Limited,NSE Equity,NS
ARVINDFASN,Arvind Fashions Limited,NSE Equity,NS
ARVSMART,Arvind SmartSpaces Limited,NSE Equity,NS
ASAHIINDIA,Asahi India Glass Limited,NSE Equity,NS
ASAHISONG,Asahi Songwon Colors Limited,NSE Equity,NS
ASAL,Automotive Stampings and Assemblies Limited,NSE Equity,NS
ASALCBR,Associated Alcohols & Breweries Ltd.,NSE Equity,NS
ASHAPURMIN,Ashapura Minechem Limited,NSE Equity,NS
ASHIANA,Ashiana Housing Limited,NSE Equity,NS
ASHIMASYN,Ashima Limited,NSE Equity,NS
ASHOKA,Ashoka Buildcon Limited,NSE Equity,NS
ASHOKAMET,Ashoka Metcast Limited,NSE Equity,NS
ASHOKLEY,Ashok Leyland Limited,NSE Equity,NS
ASIANENE,Asian Energy Services Limited,NSE Equity,NS
ASIANHOTNR,Asian Hotels (North) Limited,NSE Equity,NS
ASIANPAINT,Asian Paints Limited,NSE Equity,NS
ASIANTILES,Asian Granito India Limited,NSE Equity,NS
ASKAUTOLTD,ASK Automotive Limited,NSE Equity,NS
ASMS,Bartronics India Limited,NSE Equity,NS
ASPINWALL,Aspinwall and Company Limited,NSE Equity,NS
ASTEC,Astec LifeSciences Limited,NSE Equity,NS
ASTERDM,Aster DM Healthcare Limited,NSE Equity,NS
ASTRAL,Astral Limited,NSE Equity,NS
ASTRAMICRO,Astra Microwave Products Limited,NSE Equity,NS
ASTRAZEN,AstraZeneca Pharma India Limited,NSE Equity,NS
ASTRON,Astron Paper & Board Mill Limited,NSE Equity,NS
ATALREAL,Atal Realtech Limited,NSE Equity,NS
ATAM,Atam Valves Limited,NSE Equity,NS
ATGL,Adani Total Gas Limited,NSE Equity,NS
ATHERENERG,Ather Energy Limited,NSE Equity,NS
ATL,Allcargo Terminals Limited,NSE Equity,NS
ATLANTAA,ATLANTAA LIMITED,NSE Equity,NS
ATLANTAELE,Atlanta Electricals Limited,NSE Equity,NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,NSE Equity,NS
ATUL,Atul Limited,NSE Equity,NS
ATULAUTO,Atul Auto Limited,NSE Equity,NS
AUBANK,AU Small Finance Bank Limited,NSE Equity,NS
AURIGROW,Auri Grow India Limited,NSE Equity,NS
AURIONPRO,Aurionpro Solutions Limited,NSE Equity,NS
AUROPHARMA,Aurobindo Pharma Limited,NSE Equity,NS
AURUM,Aurum PropTech Limited,NSE Equity,NS
AUSOMENT,Ausom Enterprise Limited,NSE Equity,NS
AUTOAXLES,Automotive Axles Limited,NSE Equity,NS
AUTOIND,Autoline Industries Limited,NSE Equity,NS
AVADHSUGAR,Avadh Sugar & Energy Limited,NSE Equity,NS
AVALON,Avalon Technologies Limited,NSE Equity,NS
AVANTEL,Avantel Limited,NSE Equity,NS
AVANTIFEED,Avanti Feeds Limited,NSE Equity,NS
AVG,AVG Logistics Limited,NSE Equity,NS
AVL,Aditya Vision Limited,NSE Equity,NS
AVONMORE,Avonmore Capital & Management Services Limited,NSE Equity,NS
AVROIND,AVRO INDIA LIMITED,NSE Equity,NS
AVTNPL,AVT Natural Products Limited,NSE Equity,NS
AWFIS,Awfis Space Solutions Limited,NSE Equity,NS
AWHCL,Antony Waste Handling Cell Limited,NSE Equity,NS
AWL,AWL Agri Business Limited,NSE Equity,NS
AXISBANK,Axis Bank Limited,NSE Equity,NS
AXISCADES,AXISCADES Technologies Limited,NSE Equity,NS
AXITA,Axita Cotton Limited,NSE Equity,NS
AYMSYNTEX,AYM Syntex Limited,NSE Equity,NS
