symbol,name,sector,exchange
DATAMATICS,Datamatics Global Services Limited,NSE Equity,NS
DATAPATTNS,Data Patterns (India) Limited,NSE Equity,NS
DAVANGERE,Davangere Sugar Company Limited,NSE Equity,NS
DBCORP,D.B.Corp Limited,NSE Equity,NS
DBEIL,Deepak Builders & Engineers India Limited,NSE Equity,NS
DBL,Dilip Buildcon Limited,NSE Equity,NS
DBOL,Dhampur Bio Organics Limited,NSE Equity,NS
DBREALTY,Valor Estate Limited,NSE Equity,NS
DBSTOCKBRO,DB (International) Stock Brokers Limited,NSE Equity,NS
DCAL,Dishman Carbogen Amcis Limited,NSE Equity,NS
DCBBANK,DCB Bank Limited,NSE Equity,NS
DCI,Dc Infotech And Communication Limited,NSE Equity,NS
DCM,DCM  Limited,NSE Equity,NS
DCMFINSERV,DCM Financial Services Limited,NSE Equity,NS
DCMNVL,DCM Nouvelle Limited,NSE Equity,NS
DCMSHRIRAM,DCM Shriram Limited,NSE Equity,NS
DCMSRIND,DCM Shriram Industries Limited,NSE Equity,NS
DCW,DCW Limited,NSE Equity,NS
DCXINDIA,DCX Systems Limited,NSE Equity,NS
DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE Equity,NS
DECCANCE,Deccan Cements Limited,NSE Equity,NS
DEEDEV,DEE Development Engineers Limited,NSE Equity,NS
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE Equity,NS
DEEPAKNTR,Deepak Nitrite Limited,NSE Equity,NS
DEEPINDS,Deep Industries Limited,NSE Equity,NS
DELHIVERY,Delhivery Limited,NSE Equity,NS
DELPHIFX,DELPHI WORLD MONEY LIMITED,NSE Equity,NS
DELTACORP,Delta Corp Limited,NSE Equity,NS
DELTAMAGNT,Delta Manufacturing Limited,NSE Equity,NS
DEN,Den Networks Limited,NSE Equity,NS
DENORA,De Nora India Limited,NSE Equity,NS
DENTA,Denta Water and Infra Solutions Limited,NSE Equity,NS
DEVIT,Dev Information Technology Limited,NSE Equity,NS
DEVX,Dev Accelerator Limited,NSE Equity,NS
DEVYANI,Devyani International Limited,NSE Equity,NS
DGCONTENT,Digicontent Limited,NSE Equity,NS
DHAMPURSUG,Dhampur Sugar Mills Limited,NSE Equity,NS
DHANBANK,Dhanlaxmi Bank Limited,NSE Equity,NS
DHANUKA,Dhanuka Agritech Limited,NSE Equity,NS
DHARAN,DHARAN INFRA-EPC LIMITED,NSE Equity,NS
DHARMAJ,Dharmaj Crop Guard Limited,NSE Equity,NS
DHRUV,Dhruv Consultancy Services Limited,NSE Equity,NS
DHUNINV,Dhunseri Investments Limited,NSE Equity,NS
DIACABS,Diamond Power Infrastructure Limited,NSE Equity,NS
DIAMINESQ,Diamines & Chemicals Limited,NSE Equity,NS
DIAMONDYD,Prataap Snacks Limited,NSE Equity,NS
DICIND,DIC India Limited,NSE Equity,NS
DIFFNKG,Diffusion Engineers Limited,NSE Equity,NS
DIGIDRIVE,Digidrive Distributors Limited,NSE Equity,NS
DIGISPICE,DiGiSPICE Technologies Limited,NSE Equity,NS
DIGITIDE,Digitide Solutions Limited,NSE Equity,NS
DIGJAMLMTD,Digjam Limited,NSE Equity,NS
DIL,Debock Industries Limited,NSE Equity,NS
DISHTV,Dish TV India Limited,NSE Equity,NS
DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE Equity,NS
DIVISLAB,Divi's Laboratories Limited,NSE Equity,NS
DIXON,Dixon Technologies (India) Limited,NSE Equity,NS
DJML,DJ Mediaprint & Logistics Limited,NSE Equity,NS
DLF,DLF Limited,NSE Equity,NS
DLINKINDIA,D-Link (India) Limited,NSE Equity,NS
DMART,Avenue Supermarts Limited,NSE Equity,NS
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE Equity,NS
DNAMEDIA,Diligent Media Corporation Limited,NSE Equity,NS
DODLA,Dodla Dairy Limited,NSE Equity,NS
DOLATALGO,Dolat Algotech Limited,NSE Equity,NS
DOLLAR,Dollar Industries Limited,NSE Equity,NS
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE Equity,NS
DOMS,DOMS Industries Limited,NSE Equity,NS
DONEAR,Donear Industries Limited,NSE Equity,NS
DPABHUSHAN,D. P. Abhushan Limited,NSE Equity,NS
DPSCLTD,DPSC Limited,NSE Equity,NS
DPWIRES,D P Wires Limited,NSE Equity,NS
DRCSYSTEMS,DRC Systems India Limited,NSE Equity,NS
DREAMFOLKS,Dreamfolks Services Limited,NSE Equity,NS
DREDGECORP,Dredging Corporation of India Limited,NSE Equity,NS
DRREDDY,Dr. Reddy's Laboratories Limited,NSE Equity,NS
DSSL,Dynacons Systems & Solutions Limited,NSE Equity,NS
DTIL,Dhunseri Tea & Industries Limited,NSE Equity,NS
DUCON,Ducon Infratechnologies Limited,NSE Equity,NS
DVL,Dhunseri Ventures Limited,NSE Equity,NS
DWARKESH,Dwarikesh Sugar Industries Limited,NSE Equity,NS
DYCL,Dynamic Cables Limited,NSE Equity,NS
DYNAMATECH,Dynamatic Technologies Limited,NSE Equity,NS
DYNPRO,Dynemic Products Limited,NSE Equity,NS
E2E,E2E Networks Limited,NSE Equity,NS
EASEMYTRIP,Easy Trip Planners Limited,NSE Equity,NS
EASTSILK,Eastern Silk Industries Limited,NSE Equity,NS
EBGNG,GNG Electronics Limited,NSE Equity,NS
ECLERX,eClerx Services Limited,NSE Equity,NS
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,NSE Equity,NS
EDELWEISS,Edelweiss Financial Services Limited,NSE Equity,NS
EDUCOMP,Educomp Solutions Limited,NSE Equity,NS
EFCIL,EFC (I) Limited,NSE Equity,NS
EICHERMOT,Eicher Motors Limited,NSE Equity,NS
EIDPARRY,EID Parry India Limited,NSE Equity,NS
EIEL,Enviro Infra Engineers Limited,NSE Equity,NS
EIFFL,Euro India Fresh Foods Limited,NSE Equity,NS
EIHAHOTELS,EIH Associated Hotels Limited,NSE Equity,NS
EIHOTEL,EIH Limited,NSE Equity,NS
EIMCOELECO,Eimco Elecon (India) Limited,NSE Equity,NS
EKC,Everest Kanto Cylinder Limited,NSE Equity,NS
ELDEHSG,Eldeco Housing And Industries Limited,NSE Equity,NS
ELECON,Elecon Engineering Company Limited,NSE Equity,NS
ELECTCAST,Electrosteel Castings Limited,NSE Equity,NS
ELECTHERM,Electrotherm (India) Limited,NSE Equity,NS
ELGIEQUIP,Elgi Equipments Limited,NSE Equity,NS
ELGIRUBCO,Elgi Rubber Company Limited,NSE Equity,NS
ELIN,Elin Electronics Limited,NSE Equity,NS
ELLEN,Ellenbarrie Industrial Gases Limited,NSE Equity,NS
EMAMILTD,Emami Limited,NSE Equity,NS
EMAMIPAP,Emami Paper Mills Limited,NSE Equity,NS
EMAMIREAL,Emami Realty Limited,NSE Equity,NS
EMBDL,Embassy Developments Limited,NSE Equity,NS
EMCURE,Emcure Pharmaceuticals Limited,NSE Equity,NS
EMIL,Electronics Mart India Limited,NSE Equity,NS
EMKAY,Emkay Global Financial Services Limited,NSE Equity,NS
EMMBI,Emmbi Industries Limited,NSE Equity,NS
EMMVEE,Emmvee Photovoltaic Power Limited,NSE Equity,NS
EMSLIMITED,EMS Limited,NSE Equity,NS
EMUDHRA,eMudhra Limited,NSE Equity,NS
ENDURANCE,Endurance Technologies Limited,NSE Equity,NS
ENERGYDEV,Energy Development Company Limited,NSE Equity,NS
ENGINERSIN,Engineers India Limited,NSE Equity,NS
ENIL,Entertainment Network (India) Limited,NSE Equity,NS
ENRIN,Siemens Energy India Limited,NSE Equity,NS
ENTERO,Entero Healthcare Solutions Limited,NSE Equity,NS
EPACK,EPACK Durable Limited,NSE Equity,NS
EPACKPEB,EPack Prefab Technologies Limited,NSE Equity,NS
EPIGRAL,Epigral Limited,NSE Equity,NS
EPL,EPL Limited,NSE Equity,NS
EQUIPPP,Equippp Social Impact Technologies Limited,NSE Equity,NS
EQUITASBNK,Equitas Small Finance Bank Limited,NSE Equity,NS
ERIS,Eris Lifesciences Limited,NSE Equity,NS
ESABINDIA,Esab India Limited,NSE Equity,NS
ESAFSFB,ESAF Small Finance Bank Limited,NSE Equity,NS
ESCORTS,Escorts Kubota Limited,NSE Equity,NS
ESSARSHPNG,Essar Shipping Limited,NSE Equity,NS
ESSENTIA,Integra Essentia Limited,NSE Equity,NS
ESTER,Ester Industries Limited,NSE Equity,NS
ETERNAL,ETERNAL LIMITED,NSE Equity,NS
ETHOSLTD,Ethos Limited,NSE Equity,NS
EUREKAFORB,Eureka Forbes Limited,NSE Equity,NS
EUROBOND,Euro Panel Products Limited,NSE Equity,NS
EUROPRATIK,Euro Pratik Sales Limited,NSE Equity,NS
EUROTEXIND,Eurotex Industries and Exports Limited,NSE Equity,NS
EVEREADY,Eveready Industries India Limited,NSE Equity,NS
EVERESTIND,Everest Industries Limited,NSE Equity,NS
EXCEL,Excel Realty N Infra Limited,NSE Equity,NS
EXCELINDUS,Excel Industries Limited,NSE Equity,NS
EXCELSOFT,Excelsoft Technologies Limited,NSE Equity,NS
EXICOM,Exicom Tele-Systems Limited,NSE Equity,NS
EXIDEIND,Exide Industries Limited,NSE Equity,NS
EXPLEOSOL,Expleo Solutions Limited,NSE Equity,NS
EXXARO,Exxaro Tiles Limited,NSE Equity,NS
FABTECH,Fabtech Technologies Limited,NSE Equity,NS
FACT,Fertilizers and Chemicals Travancore Limited,NSE Equity,NS
FAIRCHEMOR,Fairchem Organics Limited,NSE Equity,NS
FAZE3Q,Faze Three Limited,NSE Equity,NS
FCL,Fineotex Chemical Limited,NSE Equity,NS
FCONSUMER,Future Consumer Limited,NSE Equity,NS
FCSSOFT,FCS Software Solutions Limited,NSE Equity,NS
FDC,FDC Limited,NSE Equity,NS
FEDERALBNK,The Federal Bank  Limited,NSE Equity,NS
FEDFINA,Fedbank Financial Services Limited,NSE Equity,NS
FEL,Future Enterprises Limited,NSE Equity,NS
FELDVR,Future Enterprises Limited,NSE Equity,NS
FIBERWEB,Fiberweb (India) Limited,NSE Equity,NS
FIEMIND,Fiem Industries Limited,NSE Equity,NS
FILATEX,Filatex India Limited,NSE Equity,NS
FILATFASH,Filatex Fashions Limited,NSE Equity,NS
FINCABLES,Finolex Cables Limited,NSE Equity,NS
FINEORG,Fine Organic Industries Limited,NSE Equity,NS
FINKURVE,Finkurve Financial Services Limited,NSE Equity,NS
FINOPB,Fino Payments Bank Limited,NSE Equity,NS
FINPIPE,Finolex Industries Limited,NSE Equity,NS
FIRSTCRY,Brainbees Solutions Limited,NSE Equity,NS
FISCHER,Fischer Medical Ventures Limited,NSE Equity,NS
FIVESTAR,Five-Star Business Finance Limited,NSE Equity,NS
FLAIR,Flair Writing Industries Limited,NSE Equity,NS
FLEXITUFF,Flexituff Ventures International Limited,NSE Equity,NS
FLFL,Future Lifestyle Fashions Limited,NSE Equity,NS
FLUOROCHEM,Gujarat Fluorochemicals Limited,NSE Equity,NS
FMGOETZE,Federal-Mogul Goetze (India) Limited.,NSE Equity,NS
FMNL,Future Market Networks Limited,NSE Equity,NS
FOCUS,Focus Lighting and Fixtures Limited,NSE Equity,NS
FOODSIN,Foods & Inns Limited,NSE Equity,NS
FORCEMOT,FORCE MOTORS LTD,NSE Equity,NS
FORTIS,Fortis Healthcare Limited,NSE Equity,NS
FOSECOIND,Foseco India Limited,NSE Equity,NS
FSL,Firstsource Solutions Limited,NSE Equity,NS
FUSION,Fusion Finance Limited,NSE Equity,NS
GABRIEL,Gabriel India Limited,NSE Equity,NS
GAEL,Gujarat Ambuja Exports Limited,NSE Equity,NS
GAIL,GAIL (India) Limited,NSE Equity,NS
GALAPREC,Gala Precision Engineering Limited,NSE Equity,NS
GALAXYSURF,Galaxy Surfactants Limited,NSE Equity,NS
GALLANTT,Gallantt Ispat Limited,NSE Equity,NS
GANDHAR,Gandhar Oil Refinery (India) Limited,NSE Equity,NS
GANDHITUBE,Gandhi Special Tubes Limited,NSE Equity,NS
GANECOS,Ganesha Ecosphere Limited,NSE Equity,NS
GANESHBE,Ganesh Benzoplast Limited,NSE Equity,NS
GANESHCP,Ganesh Consumer Products Limited,NSE Equity,NS
GANESHHOU,GANESH HOUSING LIMITED,NSE Equity,NS
GANGAFORGE,Ganga Forging Limited,NSE Equity,NS
GANGESSECU,Ganges Securities Limited,NSE Equity,NS
GARFIBRES,Garware Technical Fibres Limited,NSE Equity,NS
GARUDA,Garuda Construction and Engineering Limited,NSE Equity,NS
GATECH,GACM Technologies Limited,NSE Equity,NS
GATECHDVR,GACM Technologies Limited,NSE Equity,NS
GATEWAY,Gateway Distriparks Limited,NSE Equity,NS
GAYAHWS,Gayatri Highways Limited,NSE Equity,NS
GCSL,Gretex Corporate Services Limited,NSE Equity,NS
GEECEE,GeeCee Ventures Limited,NSE Equity,NS
GEEKAYWIRE,Geekay Wires Limited,NSE Equity,NS
GEMAROMA,Gem Aromatics Limited,NSE Equity,NS
GENCON,Generic Engineering Construction and Projects Limited,NSE Equity,NS
GENESYS,Genesys International Corporation Limited,NSE Equity,NS
GENSOL,Gensol Engineering Limited,NSE Equity,NS
GENUSPAPER,Genus Paper & Boards Limited,NSE Equity,NS
GENUSPOWER,Genus Power Infrastructures Limited,NSE Equity,NS
GEOJITFSL,Geojit Financial Services Limited,NSE Equity,NS
GESHIP,The Great Eastern Shipping Company Limited,NSE Equity,NS
GFLLIMITED,GFL Limited,NSE Equity,NS
GFSTEELS,Grand Foundry Limited,NSE Equity,NS
GHCL,GHCL Limited,NSE Equity,NS
GHCLTEXTIL,GHCL Textiles Limited,NSE Equity,NS
GICHSGFIN,GIC Housing Finance Limited,NSE Equity,NS
GICRE,General Insurance Corporation of India,NSE Equity,NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,NSE Equity,NS
GILLETTE,Gillette India Limited,NSE Equity,NS
GINNIFILA,Ginni Filaments Limited,NSE Equity,NS
GIPCL,Gujarat Industries Power Company Limited,NSE Equity,NS
GKENERGY,GK Energy Limited,NSE Equity,NS
GKWLIMITED,GKW Limited,NSE Equity,NS
GLAND,Gland Pharma Limited,NSE Equity,NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,NSE Equity,NS
GLENMARK,Glenmark Pharmaceuticals Limited,NSE Equity,NS
GLFL,Gujarat Lease Financing Limited,NSE Equity,NS
GLOBAL,Global Education Limited,NSE Equity,NS
GLOBALE,Globale Tessile Limited,NSE Equity,NS
GLOBALVECT,Global Vectra Helicorp Limited,NSE Equity,NS
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,NSE Equity,NS
GLOBECIVIL,Globe Civil Projects Limited,NSE Equity,NS
GLOBUSSPR,Globus Spirits Limited,NSE Equity,NS
GLOSTERLTD,Gloster Limited,NSE Equity,NS
GLOTTIS,Glottis Limited,NSE Equity,NS
GMBREW,GM Breweries Limited,NSE Equity,NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,NSE Equity,NS
GMMPFAUDLR,GMM Pfaudler Limited,NSE Equity,NS
GMRAIRPORT,GMR AIRPORTS LIMITED,NSE Equity,NS
GMRP&UI,GMR Power and Urban Infra Limited,NSE Equity,NS
GNA,GNA Axles Limited,NSE Equity,NS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,NSE Equity,NS
GOACARBON,Goa Carbon Limited,NSE Equity,NS
GOCLCORP,GOCL Corporation Limited,NSE Equity,NS
GOCOLORS,Go Fashion (India) Limited,NSE Equity,NS
GODAVARIB,Godavari Biorefineries Limited,NSE Equity,NS
GODFRYPHLP,Godfrey Phillips India Limited,NSE Equity,NS
GODIGIT,Go Digit General Insurance Limited,NSE Equity,NS
GODREJAGRO,Godrej Agrovet Limited,NSE Equity,NS
GODREJCP,Godrej Consumer Products Limited,NSE Equity,NS
GODREJIND,Godrej Industries Limited,NSE Equity,NS
GODREJPROP,Godrej Properties Limited,NSE Equity,NS
GOKEX,Gokaldas Exports Limited,NSE Equity,NS
GOKUL,Gokul Refoils and Solvent Limited,NSE Equity,NS
GOKULAGRO,Gokul Agro Resources Limited,NSE Equity,NS
GOLDENTOBC,Golden Tobacco Limited,NSE Equity,NS
GOLDIAM,Goldiam International Limited,NSE Equity,NS
GOLDTECH,AION-TECH SOLUTIONS LIMITED,NSE Equity,NS
GOODLUCK,Goodluck India Limited,NSE Equity,NS
GOPAL,Gopal Snacks Limited,NSE Equity,NS
GOYALALUM,Goyal Aluminiums Limited,NSE Equity,NS
GPIL,Godawari Power And Ispat limited,NSE Equity,NS
GPPL,Gujarat Pipavav Port Limited,NSE Equity,NS
GPTHEALTH,GPT Healthcare Limited,NSE Equity,NS
GPTINFRA,GPT Infraprojects Limited,NSE Equity,NS
GRANULES,Granules India Limited,NSE Equity,NS
GRAPHITE,Graphite India Limited,NSE Equity,NS
GRASIM,Grasim Industries Limited,NSE Equity,NS
GRAVITA,Gravita India Limited,NSE Equity,NS
GREAVESCOT,Greaves Cotton Limited,NSE Equity,NS
GREENLAM,Greenlam Industries Limited,NSE Equity,NS
GREENPANEL,Greenpanel Industries Limited,NSE Equity,NS
GREENPLY,Greenply Industries Limited,NSE Equity,NS
GREENPOWER,Orient Green Power Company Limited,NSE Equity,NS
GRINDWELL,Grindwell Norton Limited,NSE Equity,NS
GRINFRA,G R Infraprojects Limited,NSE Equity,NS
GRMOVER,GRM Overseas Limited,NSE Equity,NS
GROBTEA,The Grob Tea Company Limited,NSE Equity,NS
GROWW,Billionbrains Garage Ventures Limited,NSE Equity,NS
GRPLTD,GRP Limited,NSE Equity,NS
GRSE,Garden Reach Shipbuilders & Engineers Limited,NSE Equity,NS
GRWRHITECH,Garware Hi-Tech Films Limited,NSE Equity,NS
GSFC,Gujarat State Fertilizers & Chemicals Limited,NSE Equity,NS
GSLSU,Global Surfaces Limited,NSE Equity,NS
GSPL,Gujarat State Petronet Limited,NSE Equity,NS
GSS,GSS Infotech Limited,NSE Equity,NS
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,NSE Equity,NS
GTL,GTL Limited,NSE Equity,NS
GTLINFRA,GTL Infrastructure Limited,NSE Equity,NS
GTPL,GTPL Hathway Limited,NSE Equity,NS
GUFICBIO,Gufic Biosciences Limited,NSE Equity,NS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,NSE Equity,NS
GUJAPOLLO,Gujarat Apollo Industries Limited,NSE Equity,NS
GUJGASLTD,Gujarat Gas Limited,NSE Equity,NS
GUJRAFFIA,Gujarat Raffia Industries Limited,NSE Equity,NS
GUJTHEM,Gujarat Themis Biosyn Limited,NSE Equity,NS
GULFOILLUB,Gulf Oil Lubricants India Limited,NSE Equity,NS
GULFPETRO,GP Petroleums Limited,NSE Equity,NS
GULPOLY,Gulshan Polyols Limited,NSE Equity,NS
GVKPIL,GVK Power & Infrastructure Limited,NSE Equity,NS
GVPIL,GE Power India Limited,NSE Equity,NS
GVPTECH,GVP Infotech Limited,NSE Equity,NS
GVT&D,GE Vernova T&D India Limited,NSE Equity,NS
HAL,Hindustan Aeronautics Limited,NSE Equity,NS
HALEOSLABS,HALEOS LABS LIMITED,NSE Equity,NS
HAPPSTMNDS,Happiest Minds Technologies Limited,NSE Equity,NS
HAPPYFORGE,Happy Forgings Limited,NSE Equity,NS
HARDWYN,Hardwyn India Limited,NSE Equity,NS
HARIOMPIPE,Hariom Pipe Industries Limited,NSE Equity,NS
HARRMALAYA,Harrisons  Malayalam Limited,NSE Equity,NS
HARSHA,Harsha Engineers International Limited,NSE Equity,NS
HATHWAY,Hathway Cable & Datacom Limited,NSE Equity,NS
HATSUN,Hatsun Agro Product Limited,NSE Equity,NS
HAVELLS,Havells India Limited,NSE Equity,NS
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,NSE Equity,NS
HBLENGINE,HBL Engineering Limited,NSE Equity,NS
HBSL,HB Stockholdings Limited,NSE Equity,NS
HCC,Hindustan Construction Company Limited,NSE Equity,NS
HCG,Healthcare Global Enterprises Limited,NSE Equity,NS
HCL-INSYS,HCL Infosystems Limited,NSE Equity,NS
HCLTECH,HCL Technologies Limited,NSE Equity,NS
HDBFS,HDB Financial Services Limited,NSE Equity,NS
HDFCAMC,HDFC Asset Management Company Limited,NSE Equity,NS
HDFCBANK,HDFC Bank Limited,NSE Equity,NS
HDFCLIFE,HDFC Life Insurance Company Limited,NSE Equity,NS
HDIL,Housing Development and Infrastructure Limited,NSE Equity,NS
HEADSUP,Heads UP Ventures Limited,NSE Equity,NS
HECPROJECT,HEC Infra Projects Limited,NSE Equity,NS
HEG,HEG Limited,NSE Equity,NS
HEIDELBERG,HeidelbergCement India Limited,NSE Equity,NS
HEMIPROP,Hemisphere Properties India Limited,NSE Equity,NS
HERANBA,Heranba Industries Limited,NSE Equity,NS
HERCULES,HERCULES INVESTMENTS LIMITED,NSE Equity,NS
HERITGFOOD,Heritage Foods Limited,NSE Equity,NS
HEROMOTOCO,Hero MotoCorp Limited,NSE Equity,NS
HESTERBIO,Hester Biosciences Limited,NSE Equity,NS
HEUBACHIND,Heubach Colorants India Limited,NSE Equity,NS
HEXATRADEX,Hexa Tradex Limited,NSE Equity,NS
HEXT,Hexaware Technologies Limited,NSE Equity,NS
HFCL,HFCL Limited,NSE Equity,NS
HGINFRA,H.G. Infra Engineering Limited,NSE Equity,NS
HGM,HandsOn Global Management (HGM) Limited,NSE Equity,NS
HGS,Hinduja Global Solutions Limited,NSE Equity,NS
HIKAL,Hikal Limited,NSE Equity,NS
HILINFRA,Highway Infrastructure Limited,NSE Equity,NS
HILTON,Hilton Metal Forging Limited,NSE Equity,NS
HIMATSEIDE,Himatsingka Seide Limited,NSE Equity,NS
HINDALCO,Hindalco Industries Limited,NSE Equity,NS
HINDCOMPOS,Hindustan Composites Limited,NSE Equity,NS
HINDCON,Hindcon Chemicals Limited,NSE Equity,NS
HINDCOPPER,Hindustan Copper Limited,NSE Equity,NS
HINDOILEXP,Hindustan Oil Exploration Company Limited,NSE Equity,NS
HINDPETRO,Hindustan Petroleum Corporation Limited,NSE Equity,NS
HINDUNILVR,Hindustan Unilever Limited,NSE Equity,NS
HINDWAREAP,Hindware Home Innovation Limited,NSE Equity,NS
HINDZINC,Hindustan Zinc Limited,NSE Equity,NS
HIRECT,Hind Rectifiers Limited,NSE Equity,NS
HISARMETAL,Hisar Metal Industries Limited,NSE Equity,NS
HITECH,Hi-Tech Pipes Limited,NSE Equity,NS
HITECHCORP,Hitech Corporation Limited,NSE Equity,NS
HITECHGEAR,The Hi-Tech Gears Limited,NSE Equity,NS
HLEGLAS,HLE Glascoat Limited,NSE Equity,NS
HLVLTD,HLV LIMITED,NSE Equity,NS
HMAAGRO,HMA Agro Industries Limited,NSE Equity,NS
HMT,HMT Limited,NSE Equity,NS
HMVL,Hindustan Media Ventures Limited,NSE Equity,NS
HNDFDS,Hindustan Foods Limited,NSE Equity,NS
HOMEFIRST,Home First Finance Company India Limited,NSE Equity,NS
HONASA,Honasa Consumer Limited,NSE Equity,NS
HONAUT,Honeywell Automation India Limited,NSE Equity,NS
HONDAPOWER,Honda India Power Products Limited,NSE Equity,NS
HPAL,HP Adhesives Limited,NSE Equity,NS
HPIL,Hindprakash Industries Limited,NSE Equity,NS
HPL,HPL Electric & Power Limited,NSE Equity,NS
HSCL,Himadri Speciality Chemical Limited,NSE Equity,NS
HTMEDIA,HT Media Limited,NSE Equity,NS
HUBTOWN,Hubtown Limited,NSE Equity,NS
HUDCO,Housing & Urban Development Corporation Limited,NSE Equity,NS
HUHTAMAKI,Huhtamaki India Limited,NSE Equity,NS
HYBRIDFIN,Hybrid Financial Services Limited,NSE Equity,NS
HYUNDAI,Hyundai Motor India Limited,NSE Equity,NS
IBULLSLTD,Indiabulls Limited,NSE Equity,NS
ICDSLTD,ICDS Limited,NSE Equity,NS
ICEMAKE,Ice Make Refrigeration Limited,NSE Equity,NS
ICICIAMC,ICICI Prudential Asset Management Company Limited,NSE Equity,NS
ICICIBANK,ICICI Bank Limited,NSE Equity,NS
ICICIGI,ICICI Lombard General Insurance Company Limited,NSE Equity,NS
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,NSE Equity,NS
ICIL,Indo Count Industries Limited,NSE Equity,NS
ICRA,ICRA Limited,NSE Equity,NS
IDBI,IDBI Bank Limited,NSE Equity,NS
IDEA,Vodafone Idea Limited,NSE Equity,NS
IDEAFORGE,Ideaforge Technology Limited,NSE Equity,NS
IDFCFIRSTB,IDFC First Bank Limited,NSE Equity,NS
IEX,Indian Energy Exchange Limited,NSE Equity,NS
IFBAGRO,IFB Agro Industries Limited,NSE Equity,NS
IFBIND,IFB Industries Limited,NSE Equity,NS
IFCI,IFCI Limited,NSE Equity,NS
IFGLEXPOR,IFGL Refractories Limited,NSE Equity,NS
IGARASHI,Igarashi Motors India Limited,NSE Equity,NS
IGCL,Indogulf Cropsciences Limited,NSE Equity,NS
IGIL,International Gemmological Institute (India) Limited,NSE Equity,NS
IGL,Indraprastha Gas Limited,NSE Equity,NS
IGPL,IG Petrochemicals Limited,NSE Equity,NS
IIFL,IIFL Finance Limited,NSE Equity,NS
IIFLCAPS,IIFL Capital Services Limited,NSE Equity,NS
IITL,Industrial Investment Trust Limited,NSE Equity,NS
IKIO,IKIO Technologies Limited,NSE Equity,NS
IKS,Inventurus Knowledge Solutions Limited,NSE Equity,NS
IL&FSENGG,IL&FS Engineering and Construction Company Limited,NSE Equity,NS
IL&FSTRANS,IL&FS Transportation Networks Limited,NSE Equity,NS
IMAGICAA,Imagicaaworld Entertainment Limited,NSE Equity,NS
IMFA,Indian Metals & Ferro Alloys Limited,NSE Equity,NS
IMPAL,India Motor Parts and Accessories Limited,NSE Equity,NS
IMPEXFERRO,Impex Ferro Tech Limited,NSE Equity,NS
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,NSE Equity,NS
INDBANK,Indbank Merchant Banking Services Limited,NSE Equity,NS
INDGN,Indegene Limited,NSE Equity,NS
INDHOTEL,The Indian Hotels Company Limited,NSE Equity,NS
INDIACEM,The India Cements Limited,NSE Equity,NS
INDIAGLYCO,India Glycols Limited,NSE Equity,NS
INDIAMART,Indiamart Intermesh Limited,NSE Equity,NS
INDIANB,Indian Bank,NSE Equity,NS
INDIANCARD,Indian Card Clothing Company Limited,NSE Equity,NS
INDIANHUME,Indian Hume Pipe Company Limited,NSE Equity,NS
INDIASHLTR,India Shelter Finance Corporation Limited,NSE Equity,NS
INDIGO,InterGlobe Aviation Limited,NSE Equity,NS
INDIGOPNTS,Indigo Paints Limited,NSE Equity,NS
INDIQUBE,Indiqube Spaces Limited,NSE Equity,NS
INDNIPPON,India Nippon Electricals Limited,NSE Equity,NS
INDOAMIN,Indo Amines Limited,NSE Equity,NS
INDOBORAX,Indo Borax & Chemicals Limited,NSE Equity,NS
INDOCO,Indoco Remedies Limited,NSE Equity,NS
INDOFARM,Indo Farm Equipment Limited,NSE Equity,NS
INDORAMA,Indo Rama Synthetics (India) Limited,NSE Equity,NS
INDOSTAR,IndoStar Capital Finance Limited,NSE Equity,NS
INDOTECH,Indo Tech Transformers Limited,NSE Equity,NS
INDOTHAI,Indo Thai Securities Limited,NSE Equity,NS
INDOUS,Indo Us Biotech Limited,NSE Equity,NS
INDOWIND,Indowind Energy Limited,NSE Equity,NS
INDRAMEDCO,Indraprastha Medical Corporation Limited,NSE Equity,NS
INDSWFTLAB,Ind-Swift Laboratories Limited,NSE Equity,NS
INDTERRAIN,Indian Terrain Fashions Limited,NSE Equity,NS
INDUSINDBK,IndusInd Bank Limited,NSE Equity,NS
INDUSTOWER,Indus Towers Limited,NSE Equity,NS
INFIBEAM,Infibeam Avenues Limited,NSE Equity,NS
INFOBEAN,InfoBeans Technologies Limited,NSE Equity,NS
INFOMEDIA,Infomedia Press Limited,NSE Equity,NS
INFY,Infosys Limited,NSE Equity,NS
